"ZipCode","ZIP_AverageHomeValue","ZIP_AverageIncome","ZIP_Population","ZIP_LandArea"
18071,163400,48704,25161,7.561
48909,135000,33869,11424,2.532
51837,204100,64222,25739,14.151
29225,150900,33960,18716,5.059
39778,165200,37455,14236,4.032
26927,203600,61142,3393,6.325
32561,134900,36861,40542,72.223
26596,154700,47492,19490,73.303
19319,109000,39848,1597,64.945
16844,108700,37064,7214,177.116
18460,106300,37014,1443,51.331
19716,108800,62500,395,35.336
22711,155600,61012,2622,81.835
22769,234400,72813,1491,46.535
46736,215900,71463,33079,24.067
33599,210300,80985,33739,39.48
18159,179000,57760,2297,57.122
50555,171800,54567,25612,22.582
48742,222900,82162,11444,25.322
11956,183800,49890,4298,106.118
17052,315700,105570,15341,99.935
13788,175200,54362,741,25.034
19697,129400,48601,1858,47.746
52320,160500,43800,3479,73.135
41000,207600,75951,6906,130.555
28240,104800,41250,788,45.138
24250,101600,30053,16962,281
37440,116500,69408,1051,50.188
46250,161100,41260,13715,106.744
24686,0,57675,525,15.033
19694,137900,42942,31970,50.372
33046,199300,59911,2237,87.06
44364,98500,41680,2189,92.288
46819,105000,31098,7367,121.267
11360,161800,39156,2376,95.958
11522,116600,46771,1004,40.128
29766,205200,58866,10878,35.112
22630,202900,59183,456,35.928
32225,200000,61006,1118,39.419
20133,75600,53796,679,33.676
44062,149700,41042,2176,119.618
32560,123000,46365,2516,160.263
45318,184300,61717,2551,57.145
11668,219300,52031,2807,33.936
24235,116700,31282,2275,87.192
30723,83100,26202,581,33.68
16906,140300,41732,4249,196.183
34484,0,29519,454,25.902
49540,179800,87969,673,32.35
92650,219800,58864,2223,49.629
28883,153500,41015,16399,200.285
48371,98000,49957,1220,32.741
30821,132800,39145,3684,108.464
39207,200900,41821,2666,32.649
94110,109200,45338,3489,121.735
10373,118300,34158,1991,80.813
23820,141500,38528,3785,67.867
29120,132000,37718,2592,88.703
11690,109200,34138,6232,137.412
14770,144600,38696,5690,107.077
44568,130500,41796,8212,218.444
18147,87000,24565,1970,72.843
10888,154500,35921,1112,59.084
32147,110300,32670,4261,140.095
25393,101800,35812,4293,133.324
20920,102300,38537,3348,61.067
59420,110500,46354,2017,63.552
36723,144200,39491,3170,97.811
45340,101600,47438,1264,58.582
43076,130000,51005,1990,43.005
32398,0,0,587,21.813
17924,83400,38041,1138,44.083
51512,126300,45761,2337,53.38
27621,89000,34167,1118,47.42
12713,119000,40403,8254,121.239
14025,108600,40558,5012,98.319
47744,133300,41595,29015,20.409
13939,82000,29534,8684,2.26
50670,175400,51232,16570,28.63
72750,171400,50181,15255,4.505
10300,122700,27492,9047,3.247
22228,108900,34927,23392,8.967
19156,215900,62083,36432,45.409
48978,178100,63253,26502,30.932
26256,87500,35978,6797,107.559
74160,88800,33571,13674,86.904
18526,283900,42090,53311,132.619
28573,180700,59630,4963,32.836
93230,188100,62107,6141,85.333
51150,150500,49236,4883,160.646
83000,143600,40272,2230,56.171
20607,109500,39250,1879,33.149
10830,179000,62250,1298,27.777
34241,178100,54828,29793,88.745
45692,157100,38542,932,0.809
86940,117100,37177,7115,6.923
36705,122700,51150,1766,38.644
14385,264000,85347,2587,7.983
43558,134300,53575,11304,118.18
48114,127800,44050,2182,175.643
23631,121400,43438,5408,117.208
46450,82400,29978,2640,11.258
44527,262600,67636,4781,94.967
32770,167800,47663,7215,174.797
46173,131400,45089,3063,35.547
40021,165300,54267,4677,25.233
15306,239400,64699,6132,55.469
13343,137700,37750,1697,32.082
55060,255900,57041,3469,74.787
46466,93800,33104,32646,151.691
14690,255900,57634,10501,94.904
42508,134200,58286,1683,28.742
43785,92200,52161,4352,72.347
64970,154400,34507,4261,240.547
41988,0,0,140,43.168
27735,90500,41517,2626,43.284
44788,100500,45865,5741,102.627
16365,117200,47083,3393,48.788
26267,173700,74036,1613,27.058
34291,160300,47750,575,24.471
21092,113800,55313,1201,6.484
53514,108700,41495,8013,71.273
25081,215300,71136,3339,53.127
27666,88700,38098,693,55.801
36410,140000,42252,20000,162.515
44891,180500,55472,37761,105.02
52807,165700,44148,2421,46.693
42263,111800,32679,1613,43.388
43936,0,72958,187,0.991
37400,112100,35242,8250,199.69
35601,115700,39010,2539,34.17
53436,235600,63797,8818,71.963
10905,374400,64318,1360,21.985
17830,162800,49150,18616,47.296
30000,184100,46861,4705,42.826
31481,133200,54537,854,37.709
35696,108300,35636,17116,10.36
33846,135500,41999,12905,127.497
72290,134100,41136,16840,141.375
18179,202400,58641,9922,70.689
52370,52800,26063,2939,67.435
22992,102500,40199,11265,72.824
51974,82400,35584,6734,108.588
28445,80600,26477,1697,57.512
34049,77100,37931,1433,26.773
29442,71600,32285,7016,92.964
62000,78800,31345,9597,128.512
29426,114300,43080,2222,22.4
25719,75400,31392,5723,170.354
34507,77500,26480,1129,51.874
16722,77000,29327,2596,52.396
41735,100100,40490,8773,118.499
87330,83500,25440,3491,58.166
51861,81100,32612,5734,79.053
81220,120900,48192,9521,121.234
45284,0,23393,324,7.662
32017,96300,31516,2689,62.984
97240,84500,34458,6262,63.287
14889,77500,28556,5849,52.876
49213,85000,37634,5541,80.694
41320,66700,24475,2487,54.979
42184,110400,32772,1874,4.953
44469,109800,44043,10791,58.506
21329,107900,40184,14366,80.228
53139,84700,29961,1977,40.538
47467,107000,34023,2401,37.278
26220,51300,25795,884,7.142
19223,105700,40774,3774,182.371
30367,100600,35588,3858,37.594
40614,119000,60368,639,66.909
37210,102900,47437,6979,80.392
17274,77500,44167,174,13.476
38501,119900,0,644,18.758
20859,141500,56280,2013,34.976
20428,131800,30921,1039,52.169
22576,85300,27056,3401,41.527
25154,100800,33534,17996,144.174
31658,109100,44750,5657,58.932
70080,119200,36504,9267,132.493
43059,177200,48787,1931,79.373
21979,93100,30047,3958,106.111
39307,58200,20938,668,11.403
52302,114500,29776,890,28.746
75360,92700,38420,15315,106.126
97650,111700,48655,6169,85.195
30362,112700,48698,5431,56.168
35672,106700,30221,1365,75.47
46365,127800,36250,781,27.376
44420,121900,44302,4953,82.755
30032,75000,29419,6572,150.514
58860,76700,43077,1611,61.558
31497,88300,32230,1229,81.993
41717,120800,37185,2639,84.398
30600,117200,51845,3816,51.732
40000,151500,39119,14366,200.192
12721,179800,46394,35499,133.241
10258,117200,30778,8807,55.58
13550,219800,60811,3868,76.555
32050,98800,40360,6315,83.333
16947,96400,42454,14329,332.742
95060,122000,29327,2643,35.254
12850,142200,55728,2656,14.211
17608,0,54844,336,50.291
20269,254800,72039,1925,31.273
12010,272200,61842,904,13.326
49183,162700,34375,1253,94.764
46880,165500,47072,2916,27.74
71090,166000,47970,6140,44.159
20591,129500,45430,2673,105.993
48660,237000,50293,16741,205.794
